newts	P_score_F	P_pass_prefilter	cdf
0.05	0.433	0	0.000884
0.0601	0.241	0	0.000884
0.0702	0.138	0	0.000884
0.0803	0.0772	0	0.000884
0.0904	0.0446	0	0.000884
0.101	0.0262	0	0.000884
0.111	0.0145	0	0.000884
0.121	0.00868	0	0.000884
0.131	0.00519	0	0.000884
0.141	0.00343	0	0.000884
0.151	0.0025	0	0.000884
0.161	0.00127	0	0.000884
0.171	0.000825	0.0867	0.000884
0.181	0.000658	0.329	0.000813
0.191	0.000381	0.353	0.000596
0.202	0.000326	0.377	0.000462
0.212	0.000209	0.412	0.000339
0.222	0.000119	0.433	0.000253
0.232	0.000107	0.45	0.000201
0.242	6.34e-05	0.479	0.000153
0.252	8.42e-05	0.503	0.000123
0.262	3.33e-05	0.518	8.04e-05
0.272	2.82e-05	0.54	6.32e-05
0.282	2.35e-05	0.546	4.8e-05
0.292	5.42e-06	0.538	3.51e-05
0.302	4.68e-06	0.54	3.22e-05
0.313	9.36e-06	0.541	2.97e-05
0.323	9.5e-06	0.547	2.46e-05
0.333	1.39e-05	0.546	1.94e-05
0.343	4.73e-06	0.531	1.19e-05
0.353	9.36e-06	0.513	9.35e-06
0.363	4.73e-06	0.505	4.55e-06
0.373	9.27e-08	0.505	2.16e-06
0.383	0	0.482	2.11e-06
0.393	0	0.474	2.11e-06
0.404	4.45e-06	0.475	2.11e-06
0.414	0	0.484	0
0.424	0	0.496	0
0.434	0	0.499	0
0.444	0	0.495	0
0.454	0	0.5	0
0.464	0	0.498	0
0.474	0	0.51	0
0.484	0	0.517	0
0.494	0	0.532	0
0.504	0	0.561	0
0.515	0	0.574	0
0.525	0	0.588	0
0.535	0	0.594	0
0.545	0	0.622	0
0.555	0	0.622	0
0.565	0	0.632	0
0.575	0	0.642	0
0.585	0	0.645	0
0.596	0	0.641	0
0.606	0	0.651	0
0.616	0	0.658	0
0.626	0	0.669	0
0.636	0	0.693	0
0.646	0	0.717	0
0.656	0	0.729	0
0.666	0	0.752	0
0.676	0	0.762	0
0.686	0	0.768	0
0.697	0	0.764	0
0.707	0	0.771	0
0.717	0	0.807	0
0.727	0	0.815	0
0.737	0	0.806	0
0.747	0	0.849	0
0.757	0	0.873	0
0.767	0	0.896	0
0.777	0	0.922	0
0.787	0	0.93	0
0.797	0	0.946	0
0.808	0	0.949	0
0.818	0	0.954	0
0.828	0	0.95	0
0.838	0	0.957	0
0.848	0	0.952	0
0.858	0	0.962	0
0.868	0	0.967	0
0.878	0	0.977	0
0.888	0	0.97	0
0.898	0	0.97	0
0.909	0	0.978	0
0.919	0	0.981	0
0.929	0	0.972	0
0.939	0	0.971	0
0.949	0	0.974	0
0.959	0	0.973	0
0.969	0	0.97	0
0.979	0	0.977	0
0.989	0	0.979	0
1	0	0.983	0
1.01	0	0.984	0
1.02	0	0.972	0
1.03	0	0.974	0
1.04	0	0.978	0
1.05	0	0.973	0
